 scenario  n  p_op_optimal  steps_optimal_mean  steps_optimal_std  steps_p00_mean  steps_p00_std  steps_p05_mean  steps_p05_std
        1  2        0.0000              8.4694             1.5289          8.2449         1.4220         13.9592         1.8367
        1  4        0.3333             11.0408             2.7761         10.6531         2.3940         15.4898         2.4249
        1  6        0.4000             11.4286             2.9861         12.0612         3.7550         15.8980         3.1966
        2  2        0.0000              5.2653             0.6382          5.0612         0.7748          5.8980         1.0051
        2  4        0.3333              8.1020             1.9711          7.7143         2.1985          7.7755         1.8401
        2  6        0.4000              8.6327             2.2702          8.8980         3.0771          9.3878         2.8049
        3  2        0.0000              8.6735             1.5192          9.3265         1.4490          9.3469         1.0518
        3  4        0.3333             11.6327             1.9006         11.4694         2.5092         10.8980         2.2844
        3  6        0.4000             12.9592             2.6690         13.0000         2.8211         12.7143         3.3229
        4  2        0.0000              5.5918             0.6096          5.6122         0.6395          9.1224         1.5496
        4  4        0.3333             10.7959             3.1753          7.9388         1.7006         10.8571         2.2730
        4  6        0.4000             12.6327             4.1367         10.2857         2.6458         12.2449         2.9406
        5  2        0.0000              5.6327             0.5662          5.6327         0.6019         10.4490         1.7685
        5  4        0.3333             10.1633             2.0448          7.9592         1.8815         12.3878         2.7600
        5  6        0.4000             12.3673             4.2607         10.3469         2.3144         14.2041         4.7433
        6  2        0.0000             12.6122             5.1874         13.7551         4.9562         11.4286         1.6853
        6  4        0.3333             18.3750             4.6477         19.7097         7.4440         12.2500         1.4218
        6  6        0.4000             23.6471             8.8101         18.5000         7.1686         13.1190         2.4614
        7  2        0.0000              8.5714             1.3229          8.3061         1.1938         15.0816         1.9773
        7  4        0.3333             14.3061             3.6811         11.3673         2.5795         20.7551         4.3279
        7  6        0.4000             17.6250             2.8556         15.2653         3.0330         21.5778         5.0564
