 scenario  n  p_op_optimal  steps_optimal_mean  steps_optimal_std  steps_p00_mean  steps_p00_std  steps_p05_mean  steps_p05_std
        1  2        0.0000              8.5510             1.3549          8.5510         1.4298         10.4694         1.3709
        1  4        0.3333             11.0204             2.4366         10.7347         2.3609         12.0000         2.0000
        1  6        0.4000             11.6939             3.0564         12.2653         3.0535         13.2653         3.0123
        2  2        0.0000              5.3061             0.5479          5.2449         0.5602          5.7551         0.5962
        2  4        0.3333              8.4082             1.6191          7.7347         1.6680          8.0612         1.7006
        2  6        0.4000              9.2449             2.2223          8.8980         2.4000          8.4898         2.4420
        3  2        0.0000              8.7551             1.3155          8.7551         1.3621          9.2449         1.1462
        3  4        0.3333             10.4898             2.5668         12.0204         3.1523         11.2653         2.4561
        3  6        0.4000             11.8571             3.2532         12.3878         3.5987         12.3265         3.2041
        4  2        0.0000              5.6122             0.6061          5.6327         0.6019          9.9388         2.3399
        4  4        0.3333             10.8980             2.3651          8.1224         1.5361         13.5102         3.9111
        4  6        0.4000             15.6531             5.8079          9.9184         3.0539         15.8723         6.1982
        5  2        0.0000              5.9184             1.0173          5.8980         0.7704          9.2449         1.1820
        5  4        0.3333             10.2653             2.1869          8.6939         1.4318         11.5102         2.3640
        5  6        0.4000             11.6122             3.6789         10.8367         2.8820         12.5510         3.4343
        6  2        0.0000              8.2653             1.6429          8.3061         1.7936         10.7347         1.0758
        6  4        0.3333             17.8571             3.2146         13.4694         4.0574         11.7872         1.4132
        6  6        0.4000             17.8810             7.5068         17.6327         5.7724         12.5946         1.7234
        7  2        0.0000              5.8980             0.7704          6.6531         1.7742         19.4694         4.1084
        7  4        0.3333             19.7347             3.5869         10.4490         1.6081         23.4524         4.9099
        7  6        0.4000             22.3023             3.6223         13.6531         2.9478         23.4444         4.4236
