scenario,model,p_op_0.0_mean,p_op_0.0_std,p_op_0.33_mean,p_op_0.33_std,p_op_0.4_mean,p_op_0.4_std
1,BKT,8.702,1.5906780041938255,10.532,2.2438908378493747,11.876,2.9444802474894805
1,DKT,8.775510204081632,1.6363743729462932,10.877551020408164,2.735816857457937,12.510204081632653,4.128773269081628
1,DKTplus,9.428571428571429,2.3804761428476167,12.0,3.013856886670854,14.06122448979592,4.058982647912457
1,PFA,8.64,1.5486663123277318,10.94,2.7435267039907236,11.84,3.2910515657101556
1,TorchBKT,8.856,1.5165301604171642,11.242,2.7022287246197942,12.604,3.3713373951094434
2,BKT,6.878,1.0961382385794924,8.402,1.9431798413403696,9.198,2.34045967771419
2,DKT,5.26530612244898,0.7576144084141581,8.489795918367347,1.8041901343307267,9.122448979591836,2.96249228593387
2,DKTplus,5.204081632653061,0.6116777418411966,8.285714285714286,1.8257418583505536,9.244897959183673,2.610320959231658
2,PFA,6.9,1.035098339013531,8.68,2.0044847676331865,8.54,1.875839947917754
2,TorchBKT,6.934,1.0449055724373475,8.524,2.0556934964879874,9.134,2.398238331398357
3,BKT,13.272,2.3101275676372324,14.322,2.6130388332146492,15.736,3.148671507879006
3,DKT,28.142857142857142,1.6761634196950517,,,30.0,0.0
3,DKTplus,8.83673469387755,1.4909021147098354,10.224489795918368,1.8737807827407953,12.448979591836734,3.3853927916478903
3,PFA,11.96,1.5113178463357937,13.26,1.893167090526629,14.44,2.101117292668598
3,TorchBKT,15.02,2.5551237376356664,16.588,2.843664687988974,17.696,3.089769789921155
4,BKT,7.048,0.9877485988798862,8.33,1.9942552765923505,9.242,2.5543071408779094
4,DKT,5.714285714285714,0.5,10.918367346938776,2.225203499063602,14.183673469387756,3.3396199221602743
4,DKTplus,5.204081632653061,0.6116777418411966,10.16326530612245,2.460919025278888,12.020408163265309,2.947384404846435
4,PFA,7.54,1.4315682851691152,10.58,2.2865177159397043,13.42,5.091369247690304
4,TorchBKT,6.936,1.0049496742103017,8.37,1.9184527416237511,9.318,2.4175535423771946
5,BKT,6.998,1.019841238774256,8.574,2.122624571171332,9.246,2.3640349664599487
5,DKT,5.551020408163265,0.6474702209946261,15.408163265306122,4.3823432057278575,18.0,5.22535623915604
5,DKTplus,5.3061224489795915,0.6192765144590454,8.795918367346939,2.2077476440625965,10.346938775510203,2.634316960872426
5,PFA,10.3,1.5551100755055172,13.24,2.959315971708355,14.2,2.75532878885513
5,TorchBKT,6.946,0.9700339849014196,8.382,2.0100140080669218,9.042,2.3932595727930415
6,BKT,12.79,2.221659637092543,14.08,2.3478980494265507,15.29,2.783054218221974
6,DKT,12.63265306122449,5.797606825058007,13.93877551020408,4.853727791026992,16.369565217391305,4.478882279478882
6,DKTplus,7.816326530612245,0.8335033840102046,13.591836734693878,2.5651378077579214,18.836734693877553,4.496975552040089
6,PFA,12.14,1.324956680077365,12.98,2.4948109412645,14.32,2.351204641307541
6,TorchBKT,12.118,1.4409123696164967,13.354,1.832867372618985,14.17,2.0370073140750353
7,BKT,4.016,0.4243868617391844,7.948,0.7391811534090341,11.75,1.0908160979372454
7,DKT,3.979591836734694,0.2491482087673375,16.148936170212767,3.641420669990929,20.09090909090909,4.197552896286685
7,DKTplus,4.040816326530612,0.2857142857142857,17.591836734693878,4.443714509220387,20.68888888888889,4.611360587141984
7,PFA,3.96,0.1979486637221574,19.479166666666668,3.903024377425811,21.714285714285715,3.444937708989138
7,TorchBKT,3.978,0.1468302361112075,7.81,0.6593705627931506,11.524,1.3056927920972334
8,BKT,12.944,2.263428863569801,14.5,2.6419613774314867,15.59,3.1441487469083538
8,DKT,9.775510204081632,1.159477362910566,17.918367346938776,4.30037176054717,18.86842105263158,4.954774124895503
8,DKTplus,8.979591836734693,1.2330483215451478,13.122448979591836,2.833083222254102,15.46938775510204,4.233310568260607
8,PFA,12.4,1.7956864414252192,14.24,2.583779860465466,14.62,2.4234399568567397
8,TorchBKT,13.436,1.862482666594976,15.228,2.2605832152225434,16.066,2.6464412524379246
