================================================================================================================================================================
KNOWLEDGE TRACING MODELS COMPARISON - OPTIMIZATION RESULTS
================================================================================================================================================================

 scenario    model  p_op_0.0_mean  p_op_0.0_std  p_op_0.33_mean  p_op_0.33_std  p_op_0.4_mean  p_op_0.4_std
        1      BKT       8.960000      1.914610       11.116000       2.678225      12.644000      3.259834
        1 TorchBKT       9.632000      2.156357       12.074000       3.444452      13.538000      4.220448
        1      DKT       8.571429      1.527525       10.877551       2.876866      11.244898      2.839679
        1  DKTplus       8.897959      1.461234       11.000000       2.300362      13.061224      3.118548
        1      PFA       9.060000      1.719160       11.440000       3.098123      12.160000      3.278626
        2      BKT       6.924000      1.066066        8.394000       1.948938       9.264000      2.410378
        2 TorchBKT       6.960000      1.022002        8.524000       1.946536       9.174000      2.436308
        2      DKT       5.102041      0.714286        7.979592       2.025769       8.653061      1.974325
        2  DKTplus       5.285714      0.577350        8.204082       1.802540       9.367347      3.295792
        2      PFA       7.020000      1.133713        8.580000       2.100437       9.420000      2.441896
        3      BKT      19.236402      4.135617       20.175966       4.355585      20.726087      4.398328
        3 TorchBKT      14.004000      2.034764       15.764000       2.631759      16.654000      2.924961
        3      DKT       8.836735      1.374575       11.877551       2.269661      13.469388      2.937559
        3  DKTplus       8.387755      1.366509       11.204082       2.483106      13.061224      3.387527
        3      PFA      12.440000      1.643292       14.560000       2.696634      14.780000      2.197308
        4      BKT       6.934000      1.015730        8.284000       1.915903       9.072000      2.292887
        4 TorchBKT       6.928000      1.035839        8.498000       1.945653       9.196000      2.369137
        4      DKT       5.632653      0.635540       10.836735       3.197310      11.755102      2.996739
        4  DKTplus       5.571429      0.612372       10.734694       2.547675      15.833333      6.106618
        4      PFA       7.420000      1.691395       10.840000       2.122378      11.420000      3.220407
        5      BKT       7.000000      1.034476        8.390000       1.905035       9.376000      2.475253
        5 TorchBKT       6.940000      1.063326        8.310000       1.963061       9.130000      2.361409
        5      DKT       5.714286      0.500000        9.387755       2.243661      12.265306      3.575236
        5  DKTplus       5.632653      0.993602       10.673469       2.733951      11.979592      2.704085
        5      PFA      12.900000      1.787142       13.040000       2.828138      14.840000      3.079624
        6      BKT      18.722449      4.251369       19.430353       4.491176      19.579060      4.329095
        6 TorchBKT      17.510000      2.412787       19.458000       3.140057      20.937120      3.164543
        6      DKT      13.530612      5.012909       18.520833       4.424254      25.000000      7.766324
        6  DKTplus       8.285714      1.802776       17.734694       2.233975      17.333333      6.620982
        6      PFA      13.000000      2.109260       14.400000       2.364706      15.180000      4.183007
        7      BKT       5.622000      0.596513        9.058000       1.756361      12.294000      3.162842
        7 TorchBKT       5.538000      0.594359        9.120000       1.780995      11.974000      3.145969
        7      DKT       6.000000      0.612372       14.795918       4.107816      17.448980      4.359192
        7  DKTplus       6.204082      0.841120       18.469388       3.830263      20.285714      5.114712
        7      PFA      25.540000      2.314198       22.220000       3.970760      23.000000      7.230886

================================================================================================================================================================
Summary:
  Scenarios: [1, 2, 3, 4, 5, 6, 7]
  Models: ['BKT', 'DKT', 'DKTplus', 'PFA', 'TorchBKT']
  Total rows: 35
