student_id,task,skill_id,success,step
0,0,0,0,1
0,0,0,0,2
0,0,0,1,3
0,0,0,1,4
0,2,0,1,5
0,2,1,1,5
0,1,1,0,6
0,3,0,0,7
0,3,1,0,7
0,1,1,0,8
0,0,0,0,9
0,3,0,1,10
0,3,1,1,10
1,1,1,0,1
1,1,1,1,2
1,2,0,0,3
1,2,1,0,3
1,2,0,0,4
1,2,1,0,4
1,0,0,1,5
1,0,0,0,6
1,3,0,0,7
1,3,1,0,7
1,1,1,1,8
2,1,1,0,1
2,2,0,1,2
2,2,1,1,2
2,2,0,1,3
2,2,1,1,3
2,2,0,1,4
2,2,1,1,4
2,1,1,0,5
2,0,0,0,6
2,1,1,1,7
2,2,0,1,8
2,2,1,1,8
2,0,0,0,9
2,0,0,0,10
3,2,0,0,1
3,2,1,0,1
3,0,0,0,2
3,0,0,0,3
3,0,0,1,4
3,2,0,1,5
3,2,1,1,5
3,0,0,1,6
3,0,0,1,7
3,0,0,1,8
3,3,0,0,9
3,3,1,0,9
3,1,1,0,10
3,2,0,1,11
3,2,1,1,11
3,0,0,1,12
3,0,0,1,13
3,0,0,1,14
3,1,1,1,15
4,1,1,0,1
4,2,0,0,2
4,2,1,0,2
4,1,1,0,3
4,2,0,1,4
4,2,1,1,4
4,1,1,0,5
4,0,0,1,6
4,3,0,0,7
4,3,1,0,7
4,0,0,1,8
4,0,0,0,9
4,1,1,1,10
5,0,0,0,1
5,1,1,0,2
5,2,0,1,3
5,2,1,1,3
5,2,0,1,4
5,2,1,1,4
5,3,0,0,5
5,3,1,0,5
5,2,0,0,6
5,2,1,0,6
5,0,0,1,7
5,1,1,1,8
6,2,0,0,1
6,2,1,0,1
6,0,0,0,2
6,3,0,0,3
6,3,1,0,3
6,3,0,0,4
6,3,1,0,4
6,0,0,0,5
6,2,0,0,6
6,2,1,0,6
6,2,0,1,7
6,2,1,1,7
6,3,0,1,8
6,3,1,1,8
7,1,1,0,1
7,2,0,0,2
7,2,1,0,2
7,1,1,1,3
7,3,0,0,4
7,3,1,0,4
7,3,0,0,5
7,3,1,0,5
7,1,1,1,6
7,2,0,1,7
7,2,1,1,7
7,1,1,1,8
7,2,0,1,9
7,2,1,1,9
7,2,0,1,10
7,2,1,1,10
7,0,0,1,11
8,3,0,0,1
8,3,1,0,1
8,2,0,0,2
8,2,1,0,2
8,2,0,0,3
8,2,1,0,3
8,2,0,0,4
8,2,1,0,4
8,1,1,0,5
8,3,0,0,6
8,3,1,0,6
8,0,0,0,7
8,2,0,1,8
8,2,1,1,8
8,2,0,1,9
8,2,1,1,9
8,1,1,1,10
8,0,0,1,11
9,2,0,0,1
9,2,1,0,1
9,2,0,0,2
9,2,1,0,2
9,2,0,1,3
9,2,1,1,3
9,0,0,0,4
9,3,0,1,5
9,3,1,1,5
9,2,0,1,6
9,2,1,1,6
9,0,0,1,7
9,1,1,1,8
10,3,0,0,1
10,3,1,0,1
10,3,0,0,2
10,3,1,0,2
10,1,1,1,3
10,0,0,0,4
10,0,0,1,5
10,2,0,1,6
10,2,1,1,6
10,1,1,1,7
11,0,0,0,1
11,1,1,0,2
11,2,0,1,3
11,2,1,1,3
11,3,0,0,4
11,3,1,0,4
11,2,0,1,5
11,2,1,1,5
11,0,0,1,6
11,2,0,1,7
11,2,1,1,7
11,1,1,0,8
11,2,0,1,9
11,2,1,1,9
11,1,1,1,10
12,3,0,0,1
12,3,1,0,1
12,0,0,1,2
12,1,1,0,3
12,1,1,1,4
12,3,0,1,5
12,3,1,1,5
13,1,1,0,1
13,1,1,0,2
13,1,1,0,3
13,1,1,1,4
13,1,1,0,5
13,2,0,1,6
13,2,1,1,6
13,2,0,1,7
13,2,1,1,7
13,3,0,0,8
13,3,1,0,8
13,2,0,1,9
13,2,1,1,9
13,3,0,0,10
13,3,1,0,10
13,0,0,1,11
14,2,0,0,1
14,2,1,0,1
14,2,0,1,2
14,2,1,1,2
14,1,1,1,3
14,3,0,1,4
14,3,1,1,4
14,3,0,0,5
14,3,1,0,5
14,0,0,1,6
15,3,0,0,1
15,3,1,0,1
15,3,0,0,2
15,3,1,0,2
15,2,0,1,3
15,2,1,1,3
15,3,0,0,4
15,3,1,0,4
15,3,0,1,5
15,3,1,1,5
16,2,0,0,1
16,2,1,0,1
16,2,0,1,2
16,2,1,1,2
16,0,0,0,3
16,1,1,0,4
16,3,0,0,5
16,3,1,0,5
16,3,0,0,6
16,3,1,0,6
16,2,0,0,7
16,2,1,0,7
16,0,0,1,8
16,3,0,0,9
16,3,1,0,9
17,3,0,0,1
17,3,1,0,1
17,1,1,0,2
17,1,1,1,3
17,2,0,1,4
17,2,1,1,4
17,0,0,0,5
17,0,0,1,6
17,0,0,1,7
17,1,1,1,8
18,3,0,0,1
18,3,1,0,1
18,0,0,0,2
18,3,0,0,3
