student_id,task,skill_id,success,step
650,1,1,1,1
650,4,1,0,2
650,2,0,0,3
650,2,1,0,3
650,2,0,1,4
650,2,1,1,4
650,4,1,0,5
650,2,0,1,6
650,2,1,1,6
650,0,0,1,7
650,1,1,1,8
650,0,0,0,9
650,3,0,0,10
650,5,0,1,11
650,5,1,1,11
651,3,0,1,1
651,1,1,0,2
651,2,0,0,3
651,2,1,0,3
651,2,0,1,4
651,2,1,1,4
651,4,1,1,5
651,1,1,1,6
651,0,0,1,7
651,3,0,0,8
651,0,0,1,9
651,5,0,0,10
651,5,1,0,10
652,4,1,0,1
652,2,0,0,2
652,2,1,0,2
652,2,0,1,3
652,2,1,1,3
652,4,1,1,4
652,2,0,1,5
652,2,1,1,5
652,2,0,1,6
652,2,1,1,6
652,4,1,1,7
652,2,0,1,8
652,2,1,1,8
652,0,0,1,9
652,5,0,0,10
652,5,1,0,10
652,5,0,0,11
652,5,1,0,11
653,3,0,0,1
653,3,0,0,2
653,0,0,1,3
653,3,0,1,4
653,3,0,0,5
653,5,0,0,6
653,5,1,0,6
653,5,0,0,7
653,5,1,0,7
653,4,1,0,8
653,2,0,1,9
653,2,1,1,9
653,2,0,1,10
653,2,1,1,10
653,4,1,1,11
654,1,1,1,1
654,5,0,0,2
654,5,1,0,2
654,1,1,0,3
654,2,0,1,4
654,2,1,1,4
654,5,0,0,5
654,5,1,0,5
654,2,0,1,6
654,2,1,1,6
654,2,0,0,7
654,2,1,0,7
654,1,1,1,8
654,4,1,0,9
654,5,0,0,10
654,5,1,0,10
654,4,1,1,11
654,4,1,1,12
654,3,0,1,13
655,0,0,1,1
655,0,0,1,2
655,5,0,0,3
655,5,1,0,3
655,3,0,0,4
655,3,0,1,5
655,5,0,0,6
655,5,1,0,6
655,4,1,0,7
655,3,0,1,8
655,1,1,1,9
655,0,0,1,10
655,2,0,0,11
655,2,1,0,11
655,2,0,1,12
655,2,1,1,12
655,2,0,1,13
655,2,1,1,13
655,5,0,1,14
655,5,1,1,14
656,0,0,1,1
656,5,0,0,2
656,5,1,0,2
656,4,1,1,3
656,3,0,0,4
656,1,1,1,5
656,2,0,1,6
656,2,1,1,6
656,0,0,1,7
656,3,0,1,8
656,4,1,1,9
657,2,0,1,1
657,2,1,1,1
657,0,0,0,2
657,2,0,1,3
657,2,1,1,3
657,3,0,1,4
657,3,0,1,5
657,5,0,1,6
657,5,1,1,6
657,5,0,0,7
657,5,1,0,7
658,5,0,0,1
658,5,1,0,1
658,5,0,0,2
658,5,1,0,2
658,0,0,1,3
658,1,1,1,4
658,4,1,0,5
658,5,0,1,6
658,5,1,1,6
658,1,1,1,7
658,4,1,0,8
658,2,0,1,9
658,2,1,1,9
659,4,1,0,1
659,2,0,0,2
659,2,1,0,2
659,3,0,1,3
659,5,0,0,4
659,5,1,0,4
659,5,0,1,5
659,5,1,1,5
659,1,1,1,6
660,1,1,1,1
660,0,0,1,2
660,4,1,0,3
660,0,0,1,4
660,0,0,1,5
660,2,0,0,6
660,2,1,0,6
660,4,1,1,7
660,1,1,1,8
660,1,1,1,9
660,0,0,1,10
660,1,1,1,11
660,3,0,1,12
661,4,1,0,1
661,2,0,1,2
661,2,1,1,2
661,2,0,0,3
661,2,1,0,3
661,3,0,1,4
661,2,0,1,5
661,2,1,1,5
661,3,0,1,6
661,3,0,1,7
661,1,1,1,8
661,4,1,1,9
662,3,0,1,1
662,0,0,1,2
662,5,0,1,3
662,5,1,1,3
662,3,0,0,4
662,0,0,1,5
662,3,0,1,6
662,3,0,1,7
662,2,0,1,8
662,2,1,1,8
662,5,0,0,9
662,5,1,0,9
662,2,0,0,10
662,2,1,0,10
662,0,0,1,11
662,5,0,0,12
662,5,1,0,12
662,3,0,1,13
662,0,0,1,14
662,4,1,0,15
663,0,0,1,1
663,2,0,0,2
663,2,1,0,2
663,4,1,1,3
663,0,0,0,4
663,4,1,0,5
663,4,1,0,6
663,5,0,0,7
663,5,1,0,7
663,4,1,1,8
663,0,0,1,9
663,1,1,1,10
663,3,0,0,11
663,1,1,1,12
663,0,0,1,13
663,5,0,1,14
663,5,1,1,14
664,0,0,0,1
664,4,1,0,2
664,2,0,1,3
664,2,1,1,3
664,1,1,1,4
664,2,0,1,5
664,2,1,1,5
664,0,0,1,6
664,5,0,0,7
664,5,1,0,7
664,3,0,0,8
664,3,0,1,9
664,2,0,1,10
664,2,1,1,10
664,4,1,1,11
665,0,0,1,1
665,0,0,1,2
665,5,0,0,3
665,5,1,0,3
665,3,0,0,4
665,0,0,1,5
665,3,0,1,6
665,5,0,0,7
665,5,1,0,7
665,1,1,1,8
665,4,1,0,9
665,0,0,1,10
665,5,0,1,11
665,5,1,1,11
666,3,0,1,1
666,2,0,0,2
666,2,1,0,2
666,5,0,0,3
666,5,1,0,3
666,1,1,1,4
666,3,0,1,5
666,1,1,1,6
666,2,0,1,7
666,2,1,1,7
666,0,0,1,8
666,0,0,1,9
666,3,0,1,10
666,2,0,1,11
666,2,1,1,11
666,1,1,1,12
666,3,0,1,13
666,2,0,1,14
666,2,1,1,14
666,2,0,1,15
666,2,1,1,15
666,1,1,1,16
666,2,0,1,17
666,2,1,1,17
667,3,0,0,1
667,0,0,0,2
667,0,0,1,3
667,3,0,1,4
667,4,1,0,5
667,1,1,1,6
667,4,1,0,7
667,3,0,1,8
667,1,1,1,9
667,3,0,1,10
667,3,0,1,11
667,2,0,1,12
667,2,1,1,12
667,1,1,0,13
667,4,1,1,14
668,4,1,1,1
668,3,0,0,2
668,3,0,0,3
668,5,0,0,4
668,5,1,0,4
668,0,0,1,5
668,4,1,0,6
668,2,0,0,7
668,2,1,0,7
668,3,0,1,8
668,3,0,1,9
668,5,0,1,10
668,5,1,1,10
669,3,0,0,1
669,2,0,1,2
669,2,1,1,2
669,0,0,1,3
669,5,0,0,4
669,5,1,0,4
669,3,0,0,5
669,0,0,0,6
669,4,1,0,7
669,0,0,1,8
669,1,1,1,9
669,4,1,0,10
669,3,0,1,11
669,0,0,1,12
669,0,0,1,13
669,4,1,1,14
670,0,0,0,1
670,5,0,0,2
670,5,1,0,2
670,2,0,0,3
670,2,1,0,3
670,3,0,0,4
670,3,0,0,5
670,4,1,0,6
670,4,1,1,7
670,3,0,1,8
670,5,0,0,9
670,5,1,0,9
671,1,1,0,1
671,2,0,0,2
671,2,1,0,2
671,5,0,0,3
671,5,1,0,3
671,5,0,0,4
671,5,1,0,4
671,0,0,1,5
671,5,0,0,6
671,5,1,0,6
671,1,1,1,7
671,0,0,1,8
671,0,0,1,9
671,4,1,1,10
671,4,1,1,11
671,5,0,0,12
671,5,1,0,12
672,2,0,1,1
672,2,1,1,1
672,1,1,0,2
672,1,1,1,3
672,0,0,0,4
672,3,0,0,5
672,5,0,1,6
672,5,1,1,6
672,2,0,1,7
672,2,1,1,7
672,5,0,1,8
672,5,1,1,8
673,5,0,0,1
673,5,1,0,1
673,5,0,0,2
673,5,1,0,2
673,1,1,1,3
673,0,0,1,4
673,4,1,1,5
673,2,0,1,6
673,2,1,1,6
673,1,1,1,7
673,4,1,1,8
673,3,0,1,9
674,4,1,0,1
674,2,0,0,2
674,2,1,0,2
674,5,0,0,3
674,5,1,0,3
674,0,0,1,4
674,4,1,0,5
674,5,0,0,6
674,5,1,0,6
674,0,0,0,7
674,1,1,1,8
674,3,0,0,9
674,4,1,1,10
674,1,1,1,11
674,1,1,1,12
674,0,0,0,13
674,3,0,1,14
675,0,0,1,1
675,2,0,0,2
675,2,1,0,2
675,2,0,1,3
675,2,1,1,3
675,5,0,0,4
675,5,1,0,4
675,3,0,0,5
675,3,0,1,6
675,4,1,1,7
675,3,0,1,8
675,1,1,1,9
676,1,1,0,1
676,5,0,0,2
676,5,1,0,2
676,0,0,1,3
676,2,0,0,4
676,2,1,0,4
676,2,0,1,5
676,2,1,1,5
676,2,0,1,6
676,2,1,1,6
676,1,1,1,7
676,4,1,1,8
676,3,0,0,9
676,3,0,1,10
677,0,0,0,1
677,5,0,0,2
677,5,1,0,2
677,3,0,1,3
677,5,0,0,4
677,5,1,0,4
677,1,1,1,5
677,5,0,1,6
677,5,1,1,6
677,2,0,1,7
677,2,1,1,7
678,2,0,0,1
678,2,1,0,1
678,3,0,1,2
678,3,0,1,3
678,3,0,1,4
678,3,0,1,5
678,1,1,1,6
678,1,1,1,7
678,1,1,1,8
678,5,0,0,9
678,5,1,0,9
678,4,1,0,10
678,0,0,1,11
678,2,0,1,12
678,2,1,1,12
678,5,0,1,13
678,5,1,1,13
679,3,0,0,1
679,1,1,1,2
679,5,0,0,3
679,5,1,0,3
679,0,0,1,4
679,2,0,1,5
679,2,1,1,5
679,2,0,1,6
679,2,1,1,6
679,0,0,1,7
679,0,0,1,8
679,5,0,0,9
679,5,1,0,9
679,3,0,0,10
679,3,0,1,11
679,5,0,1,12
679,5,1,1,12
680,3,0,0,1
680,5,0,0,2
680,5,1,0,2
680,0,0,1,3
680,4,1,1,4
680,3,0,1,5
680,3,0,1,6
680,2,0,1,7
680,2,1,1,7
680,3,0,1,8
680,2,0,1,9
680,2,1,1,9
680,0,0,1,10
680,5,0,0,11
680,5,1,0,11
681,5,0,0,1
681,5,1,0,1
681,3,0,0,2
681,3,0,0,3
681,4,1,1,4
681,2,0,0,5
681,2,1,0,5
681,4,1,1,6
681,1,1,1,7
681,3,0,1,8
682,2,0,0,1
682,2,1,0,1
682,5,0,0,2
682,5,1,0,2
682,4,1,0,3
682,0,0,1,4
682,1,1,1,5
682,1,1,0,6
682,1,1,1,7
682,2,0,1,8
682,2,1,1,8
682,5,0,0,9
682,5,1,0,9
682,3,0,0,10
682,1,1,1,11
682,1,1,1,12
682,4,1,1,13
682,1,1,1,14
682,2,0,1,15
682,2,1,1,15
683,3,0,0,1
683,0,0,1,2
683,2,0,0,3
683,2,1,0,3
683,1,1,1,4
683,0,0,1,5
683,5,0,1,6
683,5,1,1,6
683,1,1,1,7
683,0,0,1,8
683,0,0,1,9
683,3,0,1,10
683,0,0,1,11
683,1,1,1,12
683,5,0,1,13
683,5,1,1,13
684,2,0,1,1
684,2,1,1,1
684,3,0,0,2
684,5,0,0,3
684,5,1,0,3
684,5,0,0,4
684,5,1,0,4
684,0,0,1,5
684,5,0,0,6
684,5,1,0,6
684,3,0,1,7
684,1,1,0,8
684,0,0,1,9
684,2,0,1,10
684,2,1,1,10
684,5,0,0,11
684,5,1,0,11
685,5,0,0,1
685,5,1,0,1
685,2,0,0,2
685,2,1,0,2
685,0,0,1,3
685,5,0,0,4
685,5,1,0,4
685,5,0,0,5
685,5,1,0,5
685,2,0,1,6
685,2,1,1,6
685,3,0,1,7
685,1,1,1,8
685,0,0,1,9
685,4,1,1,10
686,1,1,1,1
686,1,1,1,2
686,0,0,1,3
686,0,0,1,4
686,4,1,1,5
686,1,1,1,6
686,5,0,1,7
686,5,1,1,7
686,3,0,0,8
687,5,0,0,1
687,5,1,0,1
687,1,1,1,2
687,3,0,1,3
687,2,0,0,4
687,2,1,0,4
687,1,1,1,5
687,1,1,1,6
687,3,0,1,7
687,5,0,0,8
687,5,1,0,8
687,2,0,1,9
687,2,1,1,9
687,4,1,1,10
688,0,0,0,1
688,2,0,0,2
688,2,1,0,2
688,0,0,1,3
688,3,0,0,4
688,2,0,1,5
688,2,1,1,5
688,3,0,0,6
688,1,1,0,7
688,5,0,0,8
688,5,1,0,8
688,1,1,1,9
688,1,1,1,10
688,0,0,1,11
688,1,1,1,12
688,2,0,1,13
688,2,1,1,13
688,0,0,1,14
688,4,1,1,15
689,4,1,0,1
689,5,0,0,2
689,5,1,0,2
689,5,0,0,3
689,5,1,0,3
689,3,0,0,4
689,5,0,0,5
689,5,1,0,5
689,0,0,1,6
689,1,1,1,7
689,0,0,1,8
689,1,1,1,9
689,3,0,1,10
689,0,0,1,11
689,1,1,0,12
689,3,0,1,13
689,4,1,1,14
690,0,0,1,1
690,3,0,0,2
690,1,1,1,3
690,4,1,1,4
690,1,1,1,5
690,3,0,1,6
690,3,0,1,7
690,4,1,0,8
690,5,0,0,9
690,5,1,0,9
691,0,0,1,1
691,3,0,0,2
691,4,1,1,3
691,2,0,1,4
691,2,1,1,4
691,4,1,1,5
691,5,0,0,6
691,5,1,0,6
691,2,0,1,7
691,2,1,1,7
691,2,0,1,8
691,2,1,1,8
691,3,0,0,9
692,4,1,0,1
692,3,0,0,2
692,5,0,1,3
692,5,1,1,3
692,4,1,0,4
692,5,0,0,5
692,5,1,0,5
692,5,0,0,6
692,5,1,0,6
693,3,0,0,1
693,2,0,1,2
693,2,1,1,2
693,0,0,1,3
693,5,0,0,4
693,5,1,0,4
693,2,0,1,5
693,2,1,1,5
693,2,0,1,6
693,2,1,1,6
693,1,1,1,7
693,3,0,1,8
693,1,1,1,9
693,1,1,1,10
693,2,0,1,11
693,2,1,1,11
693,2,0,1,12
693,2,1,1,12
693,1,1,1,13
694,5,0,0,1
694,5,1,0,1
694,1,1,1,2
694,5,0,0,3
694,5,1,0,3
694,4,1,1,4
694,3,0,0,5
694,5,0,0,6
694,5,1,0,6
694,4,1,1,7
694,3,0,1,8
695,0,0,1,1
695,1,1,0,2
695,5,0,0,3
695,5,1,0,3
695,0,0,1,4
695,0,0,1,5
695,3,0,0,6
695,3,0,1,7
695,5,0,0,8
695,5,1,0,8
695,3,0,1,9
695,2,0,1,10
695,2,1,1,10
695,5,0,1,11
695,5,1,1,11
696,0,0,0,1
696,2,0,0,2
696,2,1,0,2
696,2,0,1,3
696,2,1,1,3
696,3,0,0,4
696,4,1,0,5
696,5,0,1,6
696,5,1,1,6
696,2,0,1,7
696,2,1,1,7
697,1,1,0,1
697,0,0,1,2
697,5,0,0,3
697,5,1,0,3
697,2,0,0,4
697,2,1,0,4
